Lead PI	Co-Leaders	Institution Name	Unit	Official Farm Name	UniqueID	NW Lat	NW Lon	NE Lat	NE Lon	SE Lat	SE Lon	SW Lat	SW Lon	Raw LonLat	Latitude	Longitude	State	County	City (nearest)	Landscape Slope (%)	Depth of Tile (m)	Tile Spacing (m)	Establishment Year 	Y1 for CAP	Site Area (ha)	Plot Size (ha)	Number of Plots/ Subplots	IEM Climate Site	Additional Information	Notes 2011	Notes 2012	Notes 2013	Notes 2014	Notes 2015
Lauer		University of Wisconsin	Department of Agronomy	Arlington Agricultural Research Station	ARL	43 17'58.25''	-89 21'17.47''	43 17'58.13''	-89 21'00.19''	43 17'56.54''	-89 21'00.12''	43 17'56.72''	-89 21'17.45''		43.2988	-89.3530	WI	Columbia	Arlington	0-2	N/A	N/A	2000	2011	4.0	0.034	18	WI4961 MADISON DANE RGNL AP	Additional treatments not part of CAP: Tillage, fusarium resistant & susceptible varieties.  no drainage other than ditch drainage which exists for high intensity rainfalls 	The area provided does not includes grass alleys, hence the difference between metadata and GPS readings. 				
Scharf		University of Missouri	Division of Plant Sciences	Bradford Research and Extension Center	BRADFORD.A	38 53.580	-92 11.848	38 53.578	-92 11.748	38 53.505	-92 11.747	38 53.505	-92 11.846		38.8914	-92.1967	MO	Boone	Columbia	0-2	0.38	TBD	2006-2011	2012	1.5	0.081	20	MO1791 COLUMBIA RGNL AP	Undrained treatment only receives MRTN N rate. Sub-irrigation may also be implemented on controlled drainage plots	No information will be reported in 2011. This site was being established.  Reps 1 and 4 were put in first. July 24 and 25 of 2007. Reps 2 and 3 were put in August 2011. Tile lines were completed and draining by the middle of April 2012. Lines are all still open as of 7/2/12.	Tile lines are installed at 16" depth - either right on top or embedded in clay pan which is at ~16". 		All 2011 pH values are salt pH values. Going forward all should be water pH.	
Scharf		University of Missouri	Division of Plant Sciences	Bradford Research and Extension Center	BRADFORD.B1	38 53.360	-92 12.166	38 53.359	-92 12.094	38 53.335	-92 12.095	38 53.337	-92 12.166		38.8892	-92.2019	MO	Boone	Columbia	0-3	N/A	N/A	2011	2011	0.6	0.004	64	MO1791 COLUMBIA RGNL AP	Chisel tillage will be performed in the fall in treatments with no cover crop, and in the spring after killing the cover crop in treatments with the cover crop.  Cultivation will be performed in the spring in all treatments. Rye cover crop treatments will be broadcast seeded three weeks prior to recommended wheat planting date if soil moisture is favorable.  Otherwise, cover crop will be broadcast seeded when soil moisture becomes favorable or drill seeded after harvest.		Very low yields due to drought. Moisture readings only available on few plots. Those plots are corrected to 15.5% moisture. All other plots have no moisture correction in the values entered. Calculated assuming 0% moisture.		All 2011 pH values are salt pH values. Going forward all should be water pH.	
Scharf		University of Missouri	Division of Plant Sciences	Bradford Research and Extension Center	BRADFORD.B2	38 54.279	-92 12.586	38 54.277	-92 12.488	38 54.228	-92 12.490	38 54.232	-92 12.586	Interior coordinates for east and west plots  East plots NW - Lon: 92 12.524 Lat: 38 54.277 SW - Lon: 92 12.526 Lat: 38 54.230  West plots SE - Lon: 92 12.552 Lat: 38 54.230 NE - Lon: 92 12.549 Lat: 38 54.278	38.9042	-92.2089	MO	Boone	Columba	0-4	N/A	N/A	2011	2011	1.2	0.004	128	MO1791 COLUMBIA RGNL AP	In the soybean year of the corn-soybean rotation, only the tillage and cover crop treatments will be implemented.  No nitrogen will be applied to soybean.Chisel tillage will be performed in the fall in treatments with no cover crop, and in the spring after killing the cover crop in treatments with the cover crop.  Cultivation will be performed in the spring in all treatments. Rye cover crop treatments will be broadcast seeded three weeks prior to recommended wheat planting date if soil moisture is favorable.  Otherwise, cover crop will be broadcast seeded when soil moisture becomes favorable or drill seeded after harvest.		Very low corn yields due to drought. Moisture readings only available on few plots. Those plots are corrected to 15.5% moisture. All other plots have no moisture correction in the values entered. Calculated assuming 0% moisture.  In 2012, the sidedress application of nitrogen to corn was not applied correctly.The west plot treatments were applied to the east side. So far our analysis has determined that this did not affect the 2013 soybean yield. We will analyze the 2014 corn yield for any carryover effects.		All 2011 pH values are salt pH values. Going forward all should be water pH.	
Scharf		University of Missouri	Division of Plant Sciences	Bradford Research and Extension Center	BRADFORD.C	38°52'50.3"N	92°12'18.5"W	38°52'50.0"N	92°12'15.8"W	38°52'39.6"N	92°12'16.7"W	38°52'39.6"N	92°12'19.3"W		38.8792	-92.2050	MO	Boone	Columbia	1-6	N/A	N/A	2011	2012	2.6	0.009	24	MO1791 COLUMBIA RGNL AP					All 2011 pH values are salt pH values. Going forward all should be water pH.	
Kladivko	Frankenberger, Bowling	Purdue University	Agronomy Department	Davis Purdue Agricultural Center 	DPAC	40.2678	-85.1622	40.2678	-85.1576	40.2643	-85.1576	40.2643	-85.1622		40.2660	-85.1600	IN	Randolph	Farmland	0-6	0.91	15.2	2005	2011	15.8	3.642	4	IN2825 FARMLAND 5 NNW	The 40-acre field is split into 4 quadrants (1 acre is occupied by farm)					
Nkongolo		Lincoln University	Department of Agriculture and Environmental Sciences	Lincoln University Freeman Farm	FREEMAN	38°34’55.87004”N	-92°06’27.54997”W	38°34’52.66271”N	-92°06’13.00635”W	38°34’49.19887”N 	-92°06’13.20723”W	38°34’52.42063”N	-92°06’27.66964”W		38.5794	-92.1053	MO	Callaway	Jefferson City	<1	N/A	N/A	2011	2011	4.0	0.040	48	MO4271 JEFFERSON CITY WTP	GHG GC measurements taken from 2004-2009 on C-SB and SB-C plots; no measurements in 2010. 				The major issue we faced this year is the massive growth of weeds in some of the plots (we were not able to control all the weeds and it makes us uncomfortable, especially in soybean field)   Also, when reviewing GHG data, they mention this: Our Gas Chromatopgraph broke and is being fixed by Shimadzu. We had a small issue with the computer hooked to the PAGA, but it was fixed.	
Helmers		Iowa State University	Department of Agricultural and Biosystems Engineering	Agricultural Drainage Water Quality–Research and Demonstration Site (ADWQRDS)	GILMORE	42.7491	-94.4976	42.7491	-94.4935	42.7471	-94.4935	42.7481	-94.4985		42.7477	-94.4952	IA	Pocahontas	Gilmore City	0.5-1.5	1.07	TBD	1989	2011	6.1	0.058	24	IA6719 POCAHONTAS	No-till and No-till with cover crop treatments used as part of the CSCAP began in crop year 2010					
Strock		University of Minnesota 	Department of Soil, Water, and Climate	Southwest Research and Outreach Center	HICKS.B	44 20 53.88	-95 32 41.67	44 20 54.25	-95 32 01.05	44 20 38.32	-95 32 00.73	44 20 38.04	-95 32 42.65		44.3469	-95.5383	MN	Redwood	Tracy	<1	1.2	15.2	2006	2011	40.8 (2011-2014), 36.4 (2015)	14.2 (E Zone) & 26.6 (W Zone 2011-2014), 22.2 (W Zone 2015)	6	MN8323 TRACY	The research design incorporates a paired-design approach for statistical comparison. GHG (GC) measurements taken 2006-2008. Four foot soil cores pulled before drainage installed.					
Strock		University of Minnesota 	Department of Soil, Water, and Climate	Southwest Research and Outreach Center	HICKS.G	44 20 24.63	-95 32 50.76	44 20 27.37	-95 33 13.81	44 20 14.67	-95 32 42.72	44 20 15.14	-95 33 13.62		44.3727	-95.5504	MN	Redwood	Tracy	<1	1.2	TBD	2006	2011	20.2	4.5 to 6	12	MN8323 TRACY	The research design incorporates a paired-design approach for statistical comparison. "Historic” carbon data exists -> These soils were analyzed by Dr. John Baker (USDA-ARS, St. Paul). Data were collected in 2005 for Field G, which was before the drainage system was installed and again in 2010 for Field G. 	Site had flooding in 2011. Drainage flow and water quality data should not be used from 2011 due to flooding.				
